File name,Title,Author,Publisher,Discipline,Year,Metadata Title,Metadata Author
1-s2.0-S1877050919300133-main.pdf, Latest developments in metal complexes as anticancer agents, Renata Paprocka; Malgrozata Wiese-Szadkowska; Sabina Jaciauskiene; Tomasz Kosmalski; Marcelina Kulik; Anna Helmin-Basa,-,Chemistry,2021,Yes,One
E1.pdf,Emergent Solutions to High-Dimensional Multitask Reinforcement Learning,Stephen Kelly; Malcom I. Heywood,MIT,Deep Learning,2018,No,No
E2.pdf,Dense Sample Deep Learning,Stephen José Hansson; Vivek Yadav; Catherine Hanson,MIT,Deep Learning,2024,No,No
E3.pdf,Every Local Minimum Value Is the Global Minimum Value of Induced Model in Nonconvex Machine Learning,Kenji Kawaguch; Jiaoyang Huang; Leslie Pack Kaelbing,MIT,Deep Learning,2019,No,No
E4.pdf,Effect of Depth and Width on Local Minima in Deep Learning,Kenji Kawaguchi; Jiaoyang Huang; Leslie Pack Kaelbing,MIT,Deep Learning,2019,No,No
E5.pdf,White Paper - Cybersecurity in Agile Cloud Computing--Cybersecurity Guidelines for Cloud Access,David Tayouri; Snir Hassidim; Alex Smirnov; Asaf Shabti,MIT,Cybersecurity,2022,Yes,Wrong
E6.pdf,A Comprehensive Cybersecurity Audit Model to Improve Cybersecurity Assurance: The CyberSecurity Audit Model (CSAM),Regner Sabillon; Jordi Serra-Ruiz; Victor Cavaller; Jeimy Cano,MIT,Cybersecurity,2017,Yes,Yes
E7.pdf,Cybersecurity principles for industry and government: A useful framework for efforts globally to improve cybersecurity,Danielle Kriz,MIT,Cybersecurity,2011,Yes,No
E8.pdf,The defects of the Draft African Union Convention on the Establishment of a Credible Legal Framework for Cybersecurity,Uchenna Jerome Orji,MIT,Cybersecurity,2012,Yes,No
E9.pdf,A Study on Weed Detection Based on Improved Yolo v5,Ke Xiong; Qinlian Li; Yusong Meng; Qilin Li,MIT,YOLO,2023,Yes,No
E10.pdf,Tiny YOLO Optimization Oriented Bus Passenger Object Detection,ZHANG Shuo; WU Yanxia; MEN Chaoguang; LI Xiaosong,MIT,YOLO,2020,No,No
E11.pdf,,,,,,,

